menu_id,date_id,restaurant_id
1,20210101,1
2,20210101,2
3,20210101,3
4,20210101,4
5,20210101,5
6,20210101,6
7,20210101,7
8,20210101,8
9,20210101,9
10,20210101,10
11,20210101,11
12,20210101,12
13,20210101,13
14,20210101,14
15,20210101,15
16,20210101,16
17,20210101,17
18,20210101,18
19,20210101,19
20,20210101,20
21,20210102,1
22,20210102,2
23,20210102,3
24,20210102,4
25,20210102,5
26,20210102,6
27,20210102,7
28,20210102,8
29,20210102,9
30,20210102,10
31,20210102,11
32,20210102,12
33,20210102,13
34,20210102,14
35,20210102,15
36,20210102,16
37,20210102,17
38,20210102,18
39,20210102,19
40,20210102,20
41,20210103,1
42,20210103,2
43,20210103,3
44,20210103,4
45,20210103,5
46,20210103,6
47,20210103,7
48,20210103,8
49,20210103,9
50,20210103,10
51,20210103,11
52,20210103,12
53,20210103,13
54,20210103,14
55,20210103,15
56,20210103,16
57,20210103,17
58,20210103,18
59,20210103,19
60,20210103,20
61,20210104,1
62,20210104,2
63,20210104,3
64,20210104,4
65,20210104,5
66,20210104,6
67,20210104,7
68,20210104,8
69,20210104,9
70,20210104,10
71,20210104,11
72,20210104,12
73,20210104,13
74,20210104,14
75,20210104,15
76,20210104,16
77,20210104,17
78,20210104,18
79,20210104,19
80,20210104,20
81,20210105,1
82,20210105,2
83,20210105,3
84,20210105,4
85,20210105,5
86,20210105,6
87,20210105,7
88,20210105,8
89,20210105,9
90,20210105,10
91,20210105,11
92,20210105,12
93,20210105,13
94,20210105,14
95,20210105,15
96,20210105,16
97,20210105,17
98,20210105,18
99,20210105,19
100,20210105,20
101,20210106,1
102,20210106,2
103,20210106,3
104,20210106,4
105,20210106,5
106,20210106,6
107,20210106,7
108,20210106,8
109,20210106,9
110,20210106,10
111,20210106,11
112,20210106,12
113,20210106,13
114,20210106,14
115,20210106,15
116,20210106,16
117,20210106,17
118,20210106,18
119,20210106,19
120,20210106,20
121,20210107,1
122,20210107,2
123,20210107,3
124,20210107,4
125,20210107,5
126,20210107,6
