date_id,service_date,day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment
20210101,2021-01-01,4,1,6.40,1,0,1,Grill,Gourmet
20210101,2021-01-01,4,1,6.40,1,0,2,Spanish,Traditional
20210101,2021-01-01,4,1,6.40,1,0,3,Italian,Business
20210101,2021-01-01,4,1,6.40,1,0,4,Italian,Business
20210101,2021-01-01,4,1,6.40,1,0,5,Italian,Gourmet
20210101,2021-01-01,4,1,6.40,1,0,6,Mediterranean,Traditional
20210101,2021-01-01,4,1,6.40,1,0,7,Spanish,Family
20210101,2021-01-01,4,1,6.40,1,0,8,Mediterranean,Family
20210101,2021-01-01,4,1,6.40,1,0,9,Italian,Traditional
20210101,2021-01-01,4,1,6.40,1,0,10,Mediterranean,Gourmet
20210101,2021-01-01,4,1,6.40,1,0,11,Italian,Traditional
20210101,2021-01-01,4,1,6.40,1,0,12,Mediterranean,Traditional
20210101,2021-01-01,4,1,6.40,1,0,13,Grill,Gourmet
20210101,2021-01-01,4,1,6.40,1,0,14,Spanish,Traditional
20210101,2021-01-01,4,1,6.40,1,0,15,Spanish,Business
20210101,2021-01-01,4,1,6.40,1,0,16,Grill,Traditional
20210101,2021-01-01,4,1,6.40,1,0,17,Mediterranean,Traditional
20210101,2021-01-01,4,1,6.40,1,0,18,Mediterranean,Business
20210101,2021-01-01,4,1,6.40,1,0,19,Grill,Business
20210101,2021-01-01,4,1,6.40,1,0,20,Italian,Business
20210102,2021-01-02,5,1,5.90,0,0,1,Grill,Gourmet
20210102,2021-01-02,5,1,5.90,0,0,2,Spanish,Traditional
20210102,2021-01-02,5,1,5.90,0,0,3,Italian,Business
20210102,2021-01-02,5,1,5.90,0,0,4,Italian,Business
20210102,2021-01-02,5,1,5.90,0,0,5,Italian,Gourmet
20210102,2021-01-02,5,1,5.90,0,0,6,Mediterranean,Traditional
20210102,2021-01-02,5,1,5.90,0,0,7,Spanish,Family
20210102,2021-01-02,5,1,5.90,0,0,8,Mediterranean,Family
